fecha;temper;precip;viento
2018-01-01;7.6;0.0;3.1
2018-01-02;10.4;0.0;2.5
2018-01-03;10.6;0.0;1.7
2018-01-04;10.8;0.0;2.2
2018-01-05;8.6;14.1;3.1
2018-01-06;4.0;20.6;2.5
2018-01-07;3.3;3.1;2.8
2018-01-08;3.8;0.0;1.4
2018-01-09;1.6;2.3;1.4
2018-01-10;5.1;0.8;2.2
2018-01-11;5.8;0.0;3.3
2018-01-12;3.8;0.0;1.7
2018-01-13;4.0;6.0;1.1
2018-01-14;4.6;0.0;1.7
2018-01-15;4.2;0.0;1.1
2018-01-16;7.2;0.0;1.1
2018-01-17;9.0;0.0;2.2
2018-01-18;7.8;0.0;1.4
2018-01-19;8.9;0.0;1.4
2018-01-20;7.9;0.0;1.9
2018-01-21;11.0;0.0;1.1
2018-01-22;9.7;0.0;0.6
2018-01-23;10.0;0.0;0.8
2018-01-24;9.1;0.0;1.4
2018-01-25;6.8;3.5;1.9
2018-01-26;5.9;0.0;3.9
2018-01-27;6.9;0.0;3.3
2018-01-28;8.4;0.0;4.7
2018-01-29;9.2;0.0;1.9
2018-01-30;8.2;0.0;1.4
2018-01-31;7.6;0.0;1.1
2018-02-01;6.6;0.1;2.8
2018-02-02;4.4;0.0;3.6
2018-02-03;5.2;2.3;3.1
2018-02-04;3.6;17.3;3.6
2018-02-05;1.8;14.1;3.9
2018-02-06;4.1;0.0;3.1
2018-02-07;3.0;0.0;2.8
2018-02-08;3.0;0.0;2.8
2018-02-09;3.3;0.0;1.1
2018-02-10;5.7;0.0;2.2
2018-02-11;7.5;0.1;3.1
2018-02-12;6.8;0.0;1.7
2018-02-13;4.7;0.0;3.6
2018-02-14;8.2;0.0;3.1
2018-02-15;8.4;0.0;1.4
2018-02-16;10.7;0.0;1.7
2018-02-17;10.7;0.0;1.4
2018-02-18;8.0;0.0;2.8
2018-02-19;10.8;0.0;2.2
2018-02-20;10.9;0.0;3.6
2018-02-21;7.6;0.0;4.2
2018-02-22;5.4;0.0;2.8
2018-02-23;4.3;0.0;1.4
2018-02-24;5.4;0.0;1.4
2018-02-25;6.8;0.0;1.4
2018-02-26;8.8;0.0;1.1
2018-02-27;3.6;19.9;1.7
2018-02-28;7.8;19.2;1.9
2018-03-01;8.4;17.3;4.2
2018-03-02;6.4;15.3;1.9
2018-03-03;9.4;13.8;3.6
2018-03-04;9.2;4.9;2.5
2018-03-05;7.4;2.1;3.6
2018-03-06;7.4;1.0;3.1
2018-03-07;6.8;2.6;2.2
2018-03-08;7.7;1.0;1.7
2018-03-09;10.5;11.9;3.1
2018-03-10;9.7;23.7;2.8
2018-03-11;8.2;1.1;5.0
2018-03-12;9.8;1.5;3.9
2018-03-13;10.3;0.3;2.2
2018-03-14;9.8;22.9;3.1
2018-03-15;8.9;0.1;5.0
2018-03-16;8.2;3.2;3.3
2018-03-17;6.2;7.3;2.8
2018-03-18;8.4;0.0;3.3
2018-03-19;6.7;4.2;3.3
2018-03-20;6.3;Ip;5.3
2018-03-21;7.3;0.0;4.2
2018-03-22;6.6;0.0;2.2
2018-03-23;9.4;3.5;3.1
2018-03-24;7.6;0.0;6.1
2018-03-25;9.6;0.0;2.5
2018-03-26;9.6;0.0;1.9
2018-03-27;14.6;0.0;1.9
2018-03-28;15.0;0.0;3.3
2018-03-29;12.2;0.8;4.2
2018-03-30;7.8;2.2;4.2
2018-03-31;8.8;0.0;2.8
2018-04-01;11.4;0.0;1.4
2018-04-02;14.4;5.3;3.3
2018-04-03;12.3;0.0;4.4
2018-04-04;11.7;0.0;4.7
2018-04-05;12.3;0.0;1.1
2018-04-06;13.6;7.4;0.8
2018-04-07;9.4;4.1;
2018-04-08;10.4;2.5;
2018-04-09;6.8;2.7;
2018-04-10;5.4;17.6;
2018-04-11;7.0;0.0;
2018-04-12;8.4;7.4;
2018-04-13;9.8;4.8;
2018-04-14;10.8;0.2;
2018-04-15;13.3;14.3;
2018-04-16;12.3;0.0;
2018-04-17;14.6;0.0;
